x,y,radius
1234.5,589.0,36.2
1773.7,553.5,32.2
416.0,550.5,41.1
742.9,525.8,38.9
940.9,513.1,37.8
1334.1,488.2,34.2
1607.6,475.0,32.0
1779.0,468.0,31.9
1864.3,458.9,30.4
2256.6,444.9,28.7
415.5,452.0,43.2
2477.9,438.6,27.6
743.4,428.5,40.1
1049.4,412.7,37.2
1136.0,408.5,36.5
1337.4,397.7,35.0
1612.2,387.8,32.8
1869.6,375.2,31.2
2114.1,366.7,29.5
2182.7,364.7,29.3
2261.2,361.9,28.6
2407.7,359.8,28.3
2618.1,359.8,28.4
2557.9,359.2,28.4
299.0,361.7,43.8
418.0,354.5,43.5
520.0,347.5,41.9
631.5,339.5,40.9
747.0,335.0,40.0
840.4,332.2,38.7
948.0,326.1,37.7
1054.4,320.8,36.7
1245.5,317.0,35.7
1343.5,310.5,34.8
1426.0,306.0,34.0
1522.5,302.0,33.2
1618.3,301.2,32.5
1693.4,299.7,32.5
1788.3,295.6,31.2
1949.1,289.8,29.9
1876.1,291.4,30.8
2037.3,287.5,29.6
2120.6,285.5,29.1
2189.5,283.8,28.9
2696.6,284.3,28.2
2625.6,282.6,27.6
2268.8,282.1,28.1
2349.3,281.5,27.8
2491.1,280.7,27.5
299.7,262.4,42.6
419.3,253.0,41.7
633.0,242.0,40.8
748.9,237.2,39.4
949.5,231.5,38.5
1247.5,225.8,36.2
1346.8,221.1,35.2
1526.4,216.1,33.9
1622.5,214.5,32.4
2704.5,208.0,29.0
1792.0,209.0,31.4
1880.9,205.4,30.8
2041.5,202.8,29.6
2496.4,200.6,27.7
2273.6,199.9,28.5
