deck,cards,instruction_slots,instructions,empty,unreadable,jumps_direct,jumps_indirect,jumps_within_deck,jumps_within_instruction_memory,backward_jumps,hit_rate_within_deck,highest_jump_target,halts,cell_accesses,constant_accesses,distinct_cells,highest_cell
!_полная_АУ,10,100,100,0,0,14,5,14,14,3,100.0,99,11,86,42,27,99
!_полная_РК,5,50,50,0,0,9,9,8,9,3,88.9,50,1,41,4,17,90
!_полная_симпсон,6,60,58,2,0,8,0,8,8,3,100.0,50,2,50,11,25,99
(16),4,40,40,0,0,3,0,2,3,1,66.7,59,2,37,4,23,199
1_(13),12,120,120,0,0,17,0,16,17,2,94.1,122,2,103,12,24,86
2_1-14,14,140,139,1,0,16,3,16,16,5,100.0,92,3,123,0,63,151
2_1-15(16),15,150,149,1,0,20,0,20,20,7,100.0,145,4,129,13,21,86
3_(7),6,60,60,0,0,9,0,8,9,4,88.9,60,0,51,7,16,86
3_1-11-15,7,70,69,1,0,9,0,1,9,0,11.1,140,4,60,1,39,174
3_1-9,9,90,90,0,0,16,0,14,16,2,87.5,92,0,74,0,29,153
4_1-13,13,130,130,0,0,8,3,8,8,2,100.0,100,3,122,0,38,174
5_1-14,14,140,139,1,0,29,0,29,29,3,100.0,138,0,110,0,36,173
АСУ,8,80,20,60,0,8,0,8,8,0,100.0,60,6,12,0,6,6
АУ_1-8,8,80,80,0,0,10,4,9,10,1,90.0,81,8,70,34,25,99
АУ_нет_3-5,7,70,70,0,0,10,5,3,10,0,30.0,99,8,60,26,21,99
Вариант,3,30,23,7,0,2,0,2,2,2,100.0,9,0,21,0,18,70
ЗУ,3,30,30,0,0,3,2,2,3,1,66.7,50,0,27,7,13,189
Закл,7,70,70,0,0,11,10,11,11,7,100.0,65,0,59,3,21,181
МПМ,4,40,32,8,0,5,1,4,5,4,80.0,51,2,27,4,13,199
Определение_средне_квадратичного_(4),4,40,40,0,0,1,4,1,1,1,100.0,5,2,39,0,15,111
Программа_многофакторного_анализа_(16),15,150,150,0,0,2,16,2,2,2,100.0,102,7,148,1,46,90
Прочее,6,60,59,1,0,7,0,2,7,1,28.6,159,6,52,2,25,173
Рассчёт_себестоимости_(7),4,40,40,0,0,2,6,1,2,0,50.0,50,1,38,0,16,52
Сеть_(25),13,130,130,0,0,16,16,15,16,8,93.8,130,16,114,3,22,179
Срок_службы_оборудования_(16),11,110,110,0,0,7,9,7,7,2,100.0,95,6,103,9,36,199
о.ч.х.с.в._(10),9,90,90,0,0,2,0,2,2,2,100.0,7,10,88,9,25,101
о.ч.х.с.д.с.в._(8),5,50,50,0,0,3,0,3,3,3,100.0,31,3,47,8,26,92
